FNPresence
FNSounds	FNMotion-noise	FNImpact	FNCause-impact
FNAggregate
FNEclipse	FNAdorning
FNRobbery
FNRobbery
FNRobbery
FNClothing
FNChange-position-on-a-scale
FNMotion	FNMass-motion	FNBody-movement
FNObservable-body-parts
FNAccoutrements
FNHair-configuration
FNHair-configuration
FNAccoutrements
FNAccoutrements
FNAccoutrements
FNChange-position-on-a-scale
FNAccoutrements
FNSelf-motion
FNJudgment-communication	FNImpact	FNCause-impact
FNPath-shape	FNMotion-directional
FNSounds	FNImpact	FNCause-harm
FNKilling
FNKilling
FNKilling
FNInvading
FNComing-up-with	FNAchieving-first
FNComing-up-with
FNAchieving-first
FNScrutiny	FNResearch	FNCriminal-investigation
FNScrutiny	FNCriminal-investigation
FNText
FNAccoutrements
FNBirth
FNPart-piece
FNClothing
FNBody-mark
FNSelf-motion
FNChange-of-consistency
FNClothing
FNClothing
FNSelf-motion
FNResidence
FNTemporary-stay	FNResidence
FNMeasure-volume
FNPeople-by-residence
FNConnectors
FNMoving-in-place	FNCause-to-move-in-place
FNHair-configuration
FNPart-whole
FNActivity-stop
FNCause-harm
FNHindering	FNContainers
FNGiving
FNKilling
FNOperate-vehicle
FNTemporary-stay
FNSleep	FNCapacity
FNSelf-motion
FNPrecipitation
FNClothing-parts
FNAggregate
FNRejuvenation
FNExperiencer-obj
FNExperiencer-obj
FNNatural-features
FNNatural-features
FNSeparating
FNLeadership
FNComplaining
FNMeasure-by-action
FNNatural-features
FNCause-harm
FNManipulate-into-doing
FNCause-harm
FNJudgment
FNCommunication-noise
FNApply-heat
FNPart-piece	FNAggregate
FNMotion-noise	FNImpact
FNAggregate
FNAggregate
FNBody-decoration
FNCause-to-wake
FNRemoving
FNBeat-opponent
FNSending	FNRoadways
FNQuarreling	FNOperate-vehicle
FNPlacing	FNManipulation
FNGiving
FNGiving
FNGiving
FNContainers
FNText
FNImmobilization	FNAttaching
FNWeapon
FNPart-piece
FNMotion	FNChange-position-on-a-scale
FNSelf-motion
FNDressing
FNClothing
FNClothing
FNSelf-motion
FNPart-piece
FNSelf-motion
FNSelf-motion
FNNatural-features
FNEmanating
FNNatural-features
FNPerception-body
FNCause-impact	FNCause-harm
FNCommunication-manner
FNClothing
FNAdorning
FNSounds
FNMake-noise	FNJudgment-communication	FNCause-to-make-noise
FNClothing
FNCommunication-noise
FNBody-mark
FNCause-to-amalgamate	FNAmalgamation
FNRite
FNEducation-teaching
FNRite
FNChange-of-consistency
FNComing-to-be
FNRide-vehicle	FNMotion
FNFilling	FNClothing	FNAdorning
FNContainers
FNExperiencer-focus	FNContrition
FNBungling
FNRuling-legally	FNLeadership
FNLeadership
FNMotion-noise	FNCommunication-noise
FNCogitation
FNScouring
FNPlacing	FNFilling	FNExecution	FNContingency	FNBody-movement
FNDesiring
FNEvent
FNJudgment-direct-address
FNSelf-motion
FNManipulate-into-doing
FNPosture	FNChange-posture
FNNatural-features
FNSleep
FNCommunication-manner
FNSounds	FNImpact	FNCause-impact	FNCause-harm	FNBody-movement
FNImpact	FNCause-to-fragment	FNCause-harm
FNPrison	FNImprisonment
FNPrison
FNPlacing
FNContainers
FNMedical-conditions
FNSelf-motion
FNObservable-body-parts
FNClothing
FNBody-movement
FNBody-mark
FNEclipse
FNIntoxicants
FNBody-movement
FNEclipse
FNBeing-named
FNContainers
FNContainers
FNObservable-body-parts
FNPractice
FNPractice	FNLeadership	FNFluidic-motion	FNCause-impact
FNRoadways
FNSelf-motion	FNFluidic-motion
FNCorroding
FNChange-of-consistency	FNCause-change-of-consistency
FNAggregate
FNCompatibility
FNFood-gathering
FNPlacing	FNFilling
FNSensation	FNPerception-experience	FNPerception-active	FNAppearance
FNPart-piece
FNMaking-faces	FNFacial-expression
FNMaking-faces	FNFacial-expression
FNClothing
FNIngest-substance
FNEmotion-heat
FNKilling
FNChange-of-consistency
FNBody-movement
FNClothing
FNRide-vehicle	FNFluidic-motion	FNBringing
FNAccoutrements
FNDeciding
FNAdorning
FNStatement
FNStatement
FNPersonal-relationship
FNPersonal-relationship
FNNatural-features
FNCompatibility
FNAggregate
FNAccoutrements
FNShapes
FNComing-up-with	FNAchieving-first
FNSounds	FNMotion-noise	FNMake-noise	FNCause-impact
FNOffenses
FNContainers
FNMeasure-volume
FNRite
FNExperiencer-obj
FNEmotion-directed
FNTravel
FNSelf-motion
FNAccoutrements
FNAccoutrements
FNComing-up-with
FNExperiencer-focus
FNExperiencer-focus
FNAccoutrements
FNBringing
FNSmuggling
FNSmuggling
FNSmuggling
FNIngestion
FNPath-shape	FNMotion
FNCause-to-fragment	FNBreaking-off
FNSounds	FNFacial-expression
FNTheft	FNRemoving	FNKidnapping
FNTheft	FNKidnapping
FNSelf-motion
FNApply-heat
FNCalendric-unit
FNPart-inner-outer
FNCalendric-unit
FNObservable-body-parts
FNContainers
FNBody-movement
FNBeing-employed
FNUnemployment-rate
FNClothing
FNSelf-motion
FNCause-to-amalgamate	FNBecoming-a-member	FNAttaching
FNChatting
FNSocial-event
FNRotting
FNAdorning
FNChange-position-on-a-scale	FNCause-change-of-position-on-a-scale
FNJudgment-communication
FNComing-to-believe
FNComing-to-believe
FNCure
FNCure
FNClothing
FNPerception-active
FNSeeking
FNAccoutrements
FNContainers	FNBeing-at-risk
FNText
FNSelf-motion
FNPeople-by-vocation
FNQuitting-a-place
FNTaking-time	FNRide-vehicle	FNRemoving	FNIngest-substance	FNBringing
FNConquering
FNTalking-into	FNStatement	FNDiscussion	FNChatting
FNAmounting-to	FNAdding-up
FNObservable-body-parts
FNRope-manipulation
FNContainers
FNClothing
FNMeasure-volume
FNFacial-expression
FNPerception-active	FNIngest-substance
FNContainers
FNPart-piece
FNAccoutrements
FNLikelihood
FNSleep
FNMeasure-linear-extent
FNBusinesses
FNMeasure-mass
FNMeasure-linear-extent
FNQuantity
FNImitating
FNDeparting
FNChange-of-phase
FNType	FNAggregate
FNFilling
FNCause-change
FNBeat-opponent
FNExcreting
FNQuitting-a-place
FNQuitting-a-place
FNDefend
FNContainers
FNClothing
FNClothing
FNClothing
FNText
FNPurpose
FNNatural-features
FNCorroding-caused
FNClothing-parts
FNSensation	FNPerception-experience	FNPerception-active	FNAppearance
FNClothing
FNBody-decoration
FNSelf-motion	FNCutting
FNClothing
FNLeadership
FNBiological-area
FNTheft
FNContainers
FNTheft
FNContainers
FNSelf-motion
FNUndergo-change	FNPath-shape	FNChange-direction
FNEclipse
FNChange-event-time
FNNatural-features
FNCommunicate-categorization
FNCommunicate-categorization
FNReshaping
FNOperate-vehicle
FNSelf-motion	FNMass-motion
FNPersonal-relationship
FNApply-heat
FNPardon
FNKinship
FNSelf-motion	FNRide-vehicle	FNOperate-vehicle
FNEducation-teaching
FNCollaboration
FNAggregate
FNCause-to-fragment
FNRemoving	FNExperience-bodily-harm	FNDamaging	FNCause-to-fragment
FNMeasure-volume	FNContainers
FNMeasure-volume
FNConduct
FNConduct
FNCatastrophe
FNCatastrophe
FNBiological-area
FNCommerce-sell
FNCommerce-scenario
FNRevenge
FNExpressing-publicly
FNStatement	FNSelf-motion	FNDaring
FNEmptying	FNChange-of-phase	FNCause-change-of-phase
FNEmptying
FNVerdict
FNQuantity
FNCause-to-be-dry	FNBecoming-dry
FNJudgment
FNChange-event-time
FNClothing
FNRoadways
FNSeparating	FNPart-whole
FNPartiality
FNClothing
FNMass-motion	FNAbounding-with
FNPeople-by-age
FNContacting	FNCommunication-means
FNContacting
FNSending	FNContacting	FNCommunication-means
FNBeing-named
FNPrevarication
FNPrevarication
FNWeapon
FNVerification	FNEvidence
FNClothing
FNJury-deliberation	FNCogitation
FNCogitation
FNClothing
FNStimulus-focus	FNEmotions-of-mental-activity	FNEmotion-directed
FNPeople-by-morality
FNDelivery
FNDelivery
FNNatural-features
FNEmptying
FNQuantity
FNParticipation
FNParticipation
FNParticipation
FNSeparating
FNPersonal-relationship	FNCollaboration
FNSocial-event	FNAggregate
FNLeadership
FNDeath
FNJudgment-direct-address
FNTelling	FNStatement	FNSpeak-on-topic	FNRequest	FNEvidence
FNAmbient-temperature
FNObservable-body-parts
FNInclination
FNPersonal-relationship
FNQuantity
FNAccoutrements
FNClothing
FNClothing
FNCommunication-noise
FNExperiencer-obj
FNAggregate
FNStimulus-focus
FNContainers
FNMoving-in-place	FNCause-to-move-in-place
FNLeadership
FNLeadership
FNLeadership
FNLeadership
FNRequest	FNHave-as-requirement
FNLeadership
FNDestroying	FNBeat-opponent
FNReasoning	FNEvidence
FNStatement
FNGiving
FNJudgment-communication
FNTraversing	FNNatural-features
FNAggregate
FNFood
FNAttaching
FNObservable-body-parts
FNFiring	FNActivity-stop
FNFiring
FNExperiencer-obj
FNJudgment
FNCause-to-make-progress
FNQuantity
FNCause-change
FNFinish-competition
FNCause-to-be-wet
FNFinish-competition
FNPerception-active
FNJudgment-communication
FNLinguistic-meaning
FNLinguistic-meaning
FNJudgment-communication
FNJudgment-communication
FNReshaping	FNDamaging
FNEmptying
FNJudgment-communication
FNRoadways
FNRoadways
FNSounds	FNMotion-noise	FNImpact
FNFilling	FNAdorning
FNRoadways
FNTerrorism
FNTerrorism
FNCause-to-experience
FNExamination
FNEvidence
FNScrutiny
FNScrutiny
FNGrooming	FNCause-to-be-wet
FNKinship
FNAttaching
FNRotting
FNBody-mark
FNExperiencer-obj	FNEmotion-directed
FNPersonal-relationship
FNPath-shape	FNMotion-directional
FNExperiencer-obj
FNEmotion-directed
FNKinship
FNLeadership
FNObservable-body-parts
FNCompliance
FNCompliance
FNExpertise
FNExpertise
FNDocuments
FNArriving
FNPrevent-from-having
FNDeparting
FNContainers
FNDeparting
FNReliance	FNContingency
FNContingency
FNContingency
FNCommunicate-categorization
FNCommunicate-categorization
FNObservable-body-parts
FNCommerce-pay
FNCommerce-pay
FNPart-orientational
FNOperational-testing
FNAttaching
FNJudgment-direct-address
FNJudgment-direct-address
FNChange-of-phase	FNCause-change-of-phase
FNGrant-permission
FNAccoutrements
FNKilling	FNDestroying
FNBeing-named
FNStatement
FNStatement
FNExperiencer-obj
FNClothing-parts
FNEmotion-directed
FNText
FNRite	FNFilling
FNInchoative-attaching	FNAttaching
FNNatural-features
FNLeadership
FNExpressing-publicly
FNEmptying	FNEmitting	FNBeing-in-effect
FNNatural-features
FNText
FNCommitment
FNExcreting
FNJudgment
FNCommitment
FNArranging
FNTravel
FNConduct
FNChange-of-leadership
FNPlacing
FNLocale-by-use
FNMorality-evaluation
FNJudgment-communication
FNOperate-vehicle
FNExcreting
FNPerception-active
FNForgoing
FNUndressing
FNDeny-permission
FNPath-shape	FNIntentional-traversing
FNObservable-body-parts
FNKinship
FNPredicting
FNTheft	FNOffenses
FNTopic
FNCure
FNCure
FNContainers
FNCommunication-response
FNExperiencer-obj
FNActivity-pause
FNObservable-body-parts
FNExpectation
FNCalendric-unit
FNObservable-body-parts
FNPart-piece
FNWord-relations
FNObservable-body-parts
FNSelf-motion
FNExperiencer-obj
FNSelf-motion
FNWaver-between-options
FNBody-movement
FNBody-movement
FNSounds
FNClothing-parts
FNClothing-parts
FNQuestioning
FNClothing-parts
FNQuarreling
FNSilencing
FNVolubility	FNSound-level	FNSilencing
FNBecome-silent
FNAggregate
FNQuitting-a-place	FNQuitting
FNEmptying
FNQuestioning
FNPerception-active
FNPerception-active
FNCategorization
FNMass-motion	FNCause-harm
FNKinship
FNObservable-body-parts
FNObservable-body-parts
FNObservable-body-parts
FNPeople-by-origin
FNObservable-body-parts
FNObservable-body-parts
FNBeing-named
FNObservable-body-parts
FNChange-of-consistency	FNCause-change-of-consistency
FNBiological-area
FNTheft
FNTheft
FNObservable-body-parts
FNCause-change-of-consistency
FNAwareness
FNClothing-parts
FNPart-orientational
FNCatastrophe
FNGizmo
FNClothing
FNRequest	FNAppeal
FNComing-to-be	FNAppearance
FNAttaching
FNClothing
FNClothing-parts
FNWaiting
FNWaking-up	FNCause-to-wake
FNWaking-up	FNCause-to-wake
FNSelf-motion
FNType
FNEmitting	FNEmanating
FNContacting	FNCommunication-means
FNQuantity	FNOperate-vehicle
FNClothing
FNExpectation
FNOmen
FNBiological-area
FNThwarting
FNPredicting	FNOmen
FNForging
FNForging
FNRemembering-to-do	FNRemembering-information	FNRemembering-experience	FNAbandonment
FNObservable-body-parts
FNJudgment
FNGizmo
FNUsing
FNAppointing
FNAssessing
FNJudgment
FNRoadways
FNRoadways
FNClothing
FNMass-motion
FNClothing
FNBiological-area
FNForgiveness
FNAvoiding
FNComing-to-be
FNComing-up-with
FNEncoding
FNJudgment
FNArrest
FNTelling
FNArriving
FNJudgment
FNGrant-permission
FNGrowing-food	FNCause-change-of-position-on-a-scale
FNCause-impact
FNRange	FNNatural-features	FNDelimitation-of-diversity
FNOccupy-rank	FNAssessing
FNExperiencer-obj
FNScouring	FNRobbery
FNCommunication-manner
FNCause-change-of-strength
FNSending
FNClothing
FNBody-movement
FNNatural-features
FNPlacing
FNDimension
FNReasoning	FNQuarreling	FNEvidence
FNReasoning	FNQuarreling
FNImpact	FNCommunication-noise	FNCause-impact
FNRape	FNOffenses
FNNatural-features
FNRape
FNBody-mark
FNSounds	FNFriction	FNCommunication-noise
FNReporting
FNAssessing
FNBody-decoration
FNFighting-activity
FNCause-to-fragment	FNCause-harm
FNCause-to-fragment
FNEncoding
FNComing-to-be
FNObservable-body-parts
FNAccoutrements
FNClothing
FNAggregate
FNRatification
FNJustifying
FNImpact	FNExperiencer-obj	FNCommunication-noise	FNCause-impact
FNSocial-event	FNCommunication-manner
FNNatural-features
FNDestroying
FNPath-shape	FNContacting	FNChange-position-on-a-scale	FNArriving
FNLocale-by-use
FNBody-mark
FNRoadways
FNChange-of-phase	FNCause-change-of-phase	FNActivity-pause
FNPeople-by-origin
FNPeople-by-origin
FNArraignment
FNArraignment
FNArranging
FNArranging
FNArranging
FNArrest
FNArriving
FNArriving
FNReading-aloud
FNReading-aloud	FNReading	FNHear
FNStatement
FNComing-to-believe
FNComing-to-believe
FNAssessing
FNEmotion-active
FNPersonal-relationship
FNExperiencer-obj
FNClothing-parts
FNInspecting
FNClothing
FNMental-property
FNClothing-parts
FNCausation
FNGathering-up
FNOffenses	FNArson
FNCausation	FNBringing
FNPeople-by-origin
FNRoadways
FNMedical-conditions
FNText
FNExpressing-publicly
FNReason
FNReassuring
FNReassuring	FNExperiencer-obj
FNChange-of-leadership
FNJudgment-direct-address
FNMemory	FNEvoking
FNReceiving
FNSelf-motion
FNPart-orientational
FNMaking-faces	FNFacial-expression
FNExperiencer-obj
FNApply-heat
FNBungling
FNApply-heat
FNComing-to-believe
FNAccoutrements
FNCooking-creation	FNComing-up-with
FNAggregate
FNComing-up-with
FNNatural-features
FNBe-in-agreement-on-assessment
FNKinship
FNJudgment-communication
FNJudgment-communication
FNChange-of-phase
FNTerms-of-agreement
FNSocial-event
FNPeople-by-vocation
FNAwareness
FNBecoming-aware
FNMemory
FNMemory
FNWord-relations
FNCandidness
FNClothing-parts
FNObservable-body-parts
FNAttaching
FNSeeking	FNManipulation
FNEmotion-heat
FNContingency
FNComplaining
FNPolitical-locales	FNNatural-features	FNLocale-by-ownership
FNRoadways
FNIngestion
FNKinship
FNObservable-body-parts
FNCause-harm
FNPlacing	FNFilling
FNFluidic-motion
FNForgiveness
FNContainers
FNCotheme	FNConduct
FNMeasure-volume
FNCollaboration
FNClothing-parts	FNClosure
FNDiscussion
FNDiscussion
FNReveal-secret
FNReveal-secret
FNTelling	FNReveal-secret
FNCertainty
FNInspecting
FNRecording
FNStatement
FNRecovery
FNRecovery
FNRecovery
FNTraversing	FNSelf-motion
FNDesiring
FNContainers
FNAggregate
FNObservable-body-parts
FNEmotion-directed
FNCause-harm
FNClothing
FNFilling	FNCause-fluidic-motion
FNFilling	FNDispersal
FNSelf-motion	FNNatural-features
FNFilling	FNDispersal
FNSelf-motion
FNFluidic-motion
FNOffenses
FNCorporal-punishment	FNCause-harm	FNAttaching
FNDuration-relation
FNJudgment-communication
FNShoot-projectiles	FNLaunch-process	FNGetting-vehicle-underway	FNCause-motion	FNActivity-start
FNPersonal-relationship
FNBuilding
FNInhibit-movement
FNText
FNVerification	FNStatement	FNRite
FNVerification
FNRemoving
FNCompliance
FNHostile-encounter	FNConfronting-problem
FNInstitutionalization
FNGuest-and-host	FNAggregate
FNHostile-encounter
FNCotheme
FNPerception-active
FNHostile-encounter
FNAggregate
FNFrugality
FNShapes	FNCompatibility
FNReshaping	FNCause-harm
FNChange-posture
FNResidence	FNPosture	FNChange-posture
FNResidence
FNGrooming
FNLaw
FNPeople-by-vocation
FNPlacing	FNBirth
FNPrevarication
FNManipulate-into-doing
FNImpact
FNAggregate
FNHostile-encounter
FNExperiencer-obj
FNBungling
FNChange-of-consistency
FNLeadership
FNStatement
FNEvoking
FNRelating-concepts	FNAttaching
FNCalendric-unit
FNMotion-noise	FNMake-noise	FNCommunication-noise
FNPosture	FNChange-posture
FNBreathing
FNSounds
FNSounds
FNMake-noise	FNCommunication-noise
FNSounds
FNManipulation
FNMotion-noise
FNFluidic-motion	FNFilling	FNCause-fluidic-motion
FNCause-harm
FNPerformers-and-roles	FNLeadership	FNCotheme	FNCausation
FNLeadership
FNReveal-secret	FNFluidic-motion
FNPosture	FNPlacing	FNChange-posture
FNTraversing	FNSelf-motion
FNComing-to-believe	FNBecoming-aware
FNSounds
FNProgress
FNOffenses
FNPerception-body	FNNatural-features	FNExperience-bodily-harm	FNEmotion-heat	FNCause-harm
FNExcreting
FNSelf-motion
FNVehicle
FNExpertise
FNConquering
FNMeasure-volume
FNRite
FNRite
FNCommitment
FNExperiencer-obj
FNNatural-features
FNBringing
FNChange-posture
FNPosture	FNChange-posture	FNAwareness
FNQuantity
FNEmploying
FNSelf-motion
FNProcessing-materials
FNHostile-encounter
FNRenting-out	FNRenting
FNPath-shape	FNForming-relationships	FNDeparting
FNSpeak-on-topic
FNEducation-teaching
FNShaped-part	FNClothing-parts
FNClothing
FNAggregate
FNBusinesses
FNClothing
FNMeasure-volume
FNCogitation	FNCategorization
FNSelf-motion
FNCogitation
FNKilling
FNExperiencer-obj
FNKilling
FNCause-harm
FNCollaboration
FNCollaboration
FNHindering
FNBuilding
FNBuilding
FNDesiring
FNPart-piece
FNSeeking	FNHunting
FNCause-motion
FNSelf-motion
FNPerception-body	FNExperience-bodily-harm	FNCause-harm
FNPersonal-relationship	FNFrugality
FNSilencing
FNSilencing	FNBecome-silent
FNSelf-motion	FNCotheme
FNCommunication-manner
FNBody-movement
FNChange-posture
FNPosture	FNPlacing	FNOccupy-rank	FNChange-posture
FNHostile-encounter
FNConnectors
FNPerformers-and-roles
FNClothing
FNShapes	FNDimension
FNCause-expansion
FNMedical-conditions
FNNatural-features
FNObservable-body-parts
FNClothing-parts	FNClosure
FNCategorization
FNSupporting
FNPeople-by-vocation
FNCommerce-buy
FNCommerce-scenario
FNIngestion
FNMotion-noise	FNLively-place
FNInclusion
FNContainers
FNCogitation
FNCogitation
FNJudgment
FNCause-to-be-wet
FNNatural-features
FNPerception-active
FNVerification
FNActivity-start
FNExperiencer-obj
FNDeath
FNPrevent-from-having	FNKilling	FNDeath
FNPlacing
FNStatement
FNStatement
FNManipulation
FNChange-posture
FNPrevarication	FNPosture	FNChange-posture
FNTheft	FNCause-to-end	FNBody-movement
FNSetting-fire
FNRoadways
FNRoadways
FNStatement
FNStatement
FNContacting	FNCommunication-means
FNActivity-ongoing
FNSmuggling
FNEvidence
FNGizmo
FNSetting-fire
FNType
FNPhysical-artworks	FNImpression
FNAwareness
FNTemporary-stay
FNTemporary-stay	FNResidence
FNTheft	FNSelf-motion
FNObservable-body-parts
FNText
FNSelf-motion
FNShapes	FNRoadways
FNClothing
FNPart-inner-outer
FNPlacing
FNManipulate-into-doing	FNAttempt-suasion
FNCompliance
FNAdjusting
FNCompliance
FNGiving
FNLeadership
FNComing-up-with
FNComing-up-with
FNBe-in-control
FNRecovery
FNLeadership
FNIngestion
FNImitating
FNPlacing
FNTheft
FNCause-harm
FNApply-heat
FNApply-heat
FNContainers
FNSelf-motion
FNObservable-body-parts
FNChange-of-phase	FNCause-change-of-phase
FNCommunication-manner
FNUse-firearm	FNEmitting
FNRewards-and-punishments
FNReveal-secret
FNReveal-secret
FNExperiencer-obj
FNEmotion-directed
FNExperiencer-obj
FNCustom
FNChatting
FNChatting
FNExchange-currency	FNCause-change
FNSuccessfully-communicate-message	FNBringing
FNVerdict
FNEvidence
FNEmptying
FNEvoking
FNJudgment
FNExamination
FNInspecting	FNExamination
FNInspecting	FNCourt-examination
FNHindering
FNEndangering
FNPosing-as
FNPosing-as
FNPlacing
FNGizmo	FNExecute-plan
FNRequest
FNKinship
FNKinship
FNKinship
FNKinship
FNKinship
FNKinship
FNCategorization
FNFood	FNEmotion-heat	FNApply-heat
FNExperiencer-obj
FNSeeking	FNPerception-active
FNPartiality
FNMeasure-volume
FNResidence
FNClothing
